Site,Year,Siteyr,Plot,Block,Trt,Trtdes,POST,residual,CHEAL,AMBEL,ABUTH,Poaceae,AMBTR,AMATU,AMARE,Other,Overall
Arlington,2019,ARL19,101,1,1,Check,none,,,,,,,,,,
Arlington,2019,ARL19,102,1,2,PRE,none,,99,75,89,90,,,,,83
Arlington,2019,ARL19,103,1,3,E POST,A,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,104,1,4,M POST,B,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,105,1,5,L POST,C,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,106,1,6,E POST with residual,A,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,107,1,7,M POST with residual,B,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,108,1,8,L POST with residual,C,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,201,2,8,L POST with residual,C,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,202,2,5,L POST,C,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,203,2,7,M POST with residual,B,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,204,2,1,Check,none,,,,,,,,,,
Arlington,2019,ARL19,205,2,2,PRE,none,,99,70,84,88,,,,,80
Arlington,2019,ARL19,206,2,4,M POST,B,no,99,99,99,99,,,,,98
Arlington,2019,ARL19,207,2,3,E POST,A,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,208,2,6,E POST with residual,A,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,301,3,6,E POST with residual,A,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,302,3,1,Check,none,,,,,,,,,,
Arlington,2019,ARL19,303,3,4,M POST,B,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,304,3,5,L POST,C,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,305,3,3,E POST,A,no,99,95,99,99,,,,,97
Arlington,2019,ARL19,306,3,8,L POST with residual,C,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,307,3,7,M POST with residual,B,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,308,3,2,PRE,none,,90,55,78,90,,,,,65
Arlington,2019,ARL19,401,4,4,M POST,B,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,402,4,3,E POST,A,no,99,92,99,99,,,,,95
Arlington,2019,ARL19,403,4,7,M POST with residual,B,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,404,4,8,L POST with residual,C,yes,99,99,99,99,,,,,99
Arlington,2019,ARL19,405,4,2,PRE,none,,95,30,90,95,,,,,55
Arlington,2019,ARL19,406,4,5,L POST,C,no,99,99,99,99,,,,,99
Arlington,2019,ARL19,407,4,1,Check,none,,,,,,,,,,
Arlington,2019,ARL19,408,4,6,E POST with residual,A,yes,99,99,99,99,,,,,99
Janesville,2019,ROK19,101,1,1,Check,none,,,,,,,,,,
Janesville,2019,ROK19,102,1,2,PRE,none,,95,,99,75,5,,,,10
Janesville,2019,ROK19,103,1,3,E POST,A,no,99,,99,99,80,,,,85
Janesville,2019,ROK19,104,1,4,M POST,B,no,99,,99,94,99,,,,96
Janesville,2019,ROK19,105,1,5,L POST,C,no,99,,99,99,92,,,,95
Janesville,2019,ROK19,106,1,6,E POST with residual,A,yes,99,,99,95,90,,,,92
Janesville,2019,ROK19,107,1,7,M POST with residual,B,yes,99,,99,99,93,,,,94
Janesville,2019,ROK19,108,1,8,L POST with residual,C,yes,99,,99,92,93,,,,90
Janesville,2019,ROK19,201,2,6,E POST with residual,A,yes,99,,99,99,74,,,,79
Janesville,2019,ROK19,202,2,5,L POST,C,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,203,2,7,M POST with residual,B,yes,99,,99,99,99,,,,99
Janesville,2019,ROK19,204,2,2,PRE,none,,99,,70,70,10,,,,15
Janesville,2019,ROK19,205,2,8,L POST with residual,C,yes,99,,99,90,95,,,,92
Janesville,2019,ROK19,206,2,1,Check,none,,,,,,,,,,
Janesville,2019,ROK19,207,2,3,E POST,A,no,99,,99,92,78,,,,85
Janesville,2019,ROK19,208,2,4,M POST,B,no,99,,99,90,90,,,,92
Janesville,2019,ROK19,301,3,7,M POST with residual,B,yes,99,,99,99,90,,,,94
Janesville,2019,ROK19,302,3,1,Check,none,,,,,,,,,,
Janesville,2019,ROK19,303,3,4,M POST,B,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,304,3,6,E POST with residual,A,yes,99,,99,99,83,,,,85
Janesville,2019,ROK19,305,3,3,E POST,A,no,99,,99,94,75,,,,79
Janesville,2019,ROK19,306,3,8,L POST with residual,C,yes,99,,99,99,99,,,,99
Janesville,2019,ROK19,307,3,5,L POST,C,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,308,3,2,PRE,none,,99,,99,85,1,,,,8
Janesville,2019,ROK19,401,4,8,L POST with residual,C,yes,99,,99,92,95,,,,95
Janesville,2019,ROK19,402,4,3,E POST,A,no,99,,99,89,75,,,,80
Janesville,2019,ROK19,403,4,6,E POST with residual,A,yes,99,,99,85,70,,,,75
Janesville,2019,ROK19,404,4,7,M POST with residual,B,yes,99,,99,99,99,,,,99
Janesville,2019,ROK19,405,4,5,L POST,C,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,406,4,2,PRE,none,,99,,90,80,5,,,,10
Janesville,2019,ROK19,407,4,4,M POST,B,no,99,,99,99,99,,,,99
Janesville,2019,ROK19,408,4,1,Check,none,,,,,,,,,,
Brooklyn,2019,BRO19,101,1,1,Check,none,,,,,,,,,,
Brooklyn,2019,BRO19,102,1,2,PRE,none,,,,90,90,,10,,,15
Brooklyn,2019,BRO19,103,1,3,E POST,A,no,,,99,95,,55,,,60
Brooklyn,2019,BRO19,104,1,4,M POST,B,no,,,99,99,,80,,,85
Brooklyn,2019,BRO19,105,1,5,L POST,C,no,,,99,99,,85,,,87
Brooklyn,2019,BRO19,106,1,6,E POST with residual,A,yes,,,99,99,,60,,,65
Brooklyn,2019,BRO19,107,1,7,M POST with residual,B,yes,,,99,99,,70,,,72
Brooklyn,2019,BRO19,108,1,8,L POST with residual,C,yes,,,99,99,,68,,,70
Brooklyn,2019,BRO19,201,2,4,M POST,B,no,,,99,99,,82,,,84
Brooklyn,2019,BRO19,202,2,5,L POST,C,no,,,99,99,,88,,,89
Brooklyn,2019,BRO19,203,2,7,M POST with residual,B,yes,,,99,99,,82,,,83
Brooklyn,2019,BRO19,204,2,1,Check,none,,,,,,,,,,
Brooklyn,2019,BRO19,205,2,8,L POST with residual,C,yes,,,99,99,,80,,,82
Brooklyn,2019,BRO19,206,2,3,E POST,A,no,,,99,99,,55,,,60
Brooklyn,2019,BRO19,207,2,2,PRE,none,,,,99,94,,5,,,20
Brooklyn,2019,BRO19,208,2,6,E POST with residual,A,yes,,,99,99,,60,,,65
Brooklyn,2019,BRO19,301,3,6,E POST with residual,A,yes,,,99,99,,71,,,74
Brooklyn,2019,BRO19,302,3,3,E POST,A,no,,,99,99,,85,,,62
Brooklyn,2019,BRO19,303,3,8,L POST with residual,C,yes,,,99,99,,89,,,92
Brooklyn,2019,BRO19,304,3,4,M POST,B,no,,,99,99,,90,,,92
Brooklyn,2019,BRO19,305,3,2,PRE,none,,,,99,90,,10,,,15
Brooklyn,2019,BRO19,306,3,5,L POST,C,no,,,99,99,,85,,,88
Brooklyn,2019,BRO19,307,3,7,M POST with residual,B,yes,,,99,99,,91,,,92
Brooklyn,2019,BRO19,308,3,1,Check,none,,,,,,,,,,
Brooklyn,2019,BRO19,401,4,2,PRE,none,,,,60,55,,20,,,10
Brooklyn,2019,BRO19,402,4,1,Check,none,,,,,,,,,,
Brooklyn,2019,BRO19,403,4,5,L POST,C,no,,,99,99,,85,,,89
Brooklyn,2019,BRO19,404,4,6,E POST with residual,A,yes,,,99,99,,88,,,90
Brooklyn,2019,BRO19,405,4,7,M POST with residual,B,yes,,,99,98,,80,,,84
Brooklyn,2019,BRO19,406,4,8,L POST with residual,C,yes,,,99,99,,89,,,91
Brooklyn,2019,BRO19,407,4,4,M POST,B,no,,,99,99,,84,,,86
Brooklyn,2019,BRO19,408,4,3,E POST,A,no,,,99,99,,45,,,57
Lancaster,2019,LAN19,101,1,1,Check,none,,,,,,,,,,
Lancaster,2019,LAN19,102,1,2,Check,none,,99,,99,85,,90,,,87
Lancaster,2019,LAN19,103,1,3,E POST,A,no,99,,99,99,,95,,,96
Lancaster,2019,LAN19,104,1,4,M POST,B,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,105,1,5,L POST,C,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,106,1,6,E POST with residual,A,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,107,1,7,M POST with residual,B,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,108,1,8,L POST with residual,C,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,201,2,5,L POST,C,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,202,2,4,M POST,B,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,203,2,6,E POST with residual,A,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,204,2,7,M POST with residual,B,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,205,2,8,L POST with residual,C,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,206,2,1,Check,none,,,,,,,,,,
Lancaster,2019,LAN19,207,2,3,E POST,A,no,99,,99,99,,95,,,96
Lancaster,2019,LAN19,208,2,2,PRE,none,,99,,99,85,,99,,,85
Lancaster,2019,LAN19,301,3,2,PRE,none,,99,,99,70,,83,,,78
Lancaster,2019,LAN19,302,3,8,L POST with residual,C,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,303,3,1,Check,none,,,,,,,,,,
Lancaster,2019,LAN19,304,3,3,E POST,A,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,305,3,7,M POST with residual,B,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,306,3,6,E POST with residual,A,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,307,3,4,M POST,B,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,308,3,5,L POST,C,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,401,4,3,E POST,A,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,402,4,7,M POST with residual,B,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,403,4,4,M POST,B,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,404,4,8,L POST with residual,C,yes,99,,99,99,,99,,,99
Lancaster,2019,LAN19,405,4,5,L POST,C,no,99,,99,99,,99,,,99
Lancaster,2019,LAN19,406,4,2,PRE,none,,94,,90,80,,92,,,80
Lancaster,2019,LAN19,407,4,1,Check,none,,,,,,,,,,
Lancaster,2019,LAN19,408,4,6,E POST with residual,A,yes,99,,99,99,,99,,,99
Arlington,2018,ARL18,101,1,7,M POST with residual,B,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,102,1,2,PRE,none,,99,99,99,95,,,99,,97
Arlington,2018,ARL18,104,1,1,Check,none,,,,,,,,,,
Arlington,2018,ARL18,105,1,6,E POST with residual,A,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,107,1,4,M POST,B,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,108,1,3,E POST,A,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,109,1,8,L POST with residual,C,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,110,1,5,L POST,C,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,201,2,6,E POST with residual,A,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,202,2,3,E POST,A,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,204,2,5,L POST,C,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,205,2,7,M POST with residual,B,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,206,2,8,L POST with residual,C,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,207,2,1,Check,none,,,,,,,,,,
Arlington,2018,ARL18,208,2,2,PRE,none,,85,87,99,85,,,99,,92
Arlington,2018,ARL18,210,2,4,M POST,B,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,302,3,5,L POST,C,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,303,3,7,M POST with residual,B,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,304,3,6,E POST with residual,A,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,305,3,1,Check,none,,,,,,,,,,
Arlington,2018,ARL18,306,3,2,PRE,none,,95,90,99,70,,,99,,83
Arlington,2018,ARL18,308,3,4,M POST,B,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,309,3,3,E POST,A,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,310,3,8,L POST with residual,C,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,401,4,8,L POST with residual,C,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,402,4,4,M POST,B,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,403,4,1,Check,none,,,,,,,,,,
Arlington,2018,ARL18,404,4,3,E POST,A,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,406,4,5,L POST,C,no,99,99,99,99,,,99,,99
Arlington,2018,ARL18,408,4,7,M POST with residual,B,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,409,4,6,E POST with residual,A,yes,99,99,99,99,,,99,,99
Arlington,2018,ARL18,410,4,2,PRE,none,,99,85,99,92,,,99,,90
Janesville,2018,ROK18,101,1,4,M POST,B,no,99,,99,99,99,,99,99,99
Janesville,2018,ROK18,102,1,1,Check,none,,,,,,,,,,
Janesville,2018,ROK18,103,1,5,L POST,C,no,99,,99,99,97,,99,99,99
Janesville,2018,ROK18,104,1,6,E POST with residual,A,yes,99,,99,99,99,,99,99,99
Janesville,2018,ROK18,105,1,3,E POST,A,no,99,,99,95,99,,99,99,98
Janesville,2018,ROK18,107,1,8,L POST with residual,C,yes,99,,99,97,99,,99,99,99
Janesville,2018,ROK18,108,1,2,PRE,none,,95,,99,83,67,,99,99,82
Janesville,2018,ROK18,110,1,7,M POST with residual,B,yes,99,,99,95,99,,99,95,98
Janesville,2018,ROK18,201,2,5,L POST,C,no,99,,99,99,99,,99,99,99
Janesville,2018,ROK18,203,2,3,E POST,A,no,99,,99,94,99,,99,99,97
Janesville,2018,ROK18,204,2,8,L POST with residual,C,yes,99,,99,99,98,,99,99,98
Janesville,2018,ROK18,206,2,1,Check,none,,,,,,,,,,
Janesville,2018,ROK18,207,2,4,M POST,B,no,99,,99,97,99,,99,99,97
Janesville,2018,ROK18,208,2,7,M POST with residual,B,yes,99,,99,99,99,,99,99,99
Janesville,2018,ROK18,209,2,6,E POST with residual,A,yes,99,,99,92,92,,99,99,95
Janesville,2018,ROK18,210,2,2,PRE,none,,99,,99,70,60,,99,99,75
Janesville,2018,ROK18,301,3,2,PRE,none,,99,,99,85,55,,99,99,70
Janesville,2018,ROK18,302,3,7,M POST with residual,B,yes,99,,99,99,99,,99,99,99
Janesville,2018,ROK18,305,3,5,L POST,C,no,99,,99,99,99,,99,99,99
Janesville,2018,ROK18,306,3,8,L POST with residual,C,yes,99,,99,99,98,,99,99,99
Janesville,2018,ROK18,307,3,6,E POST with residual,A,yes,99,,99,93,90,,99,99,93
Janesville,2018,ROK18,308,3,1,Check,none,,,,,,,,,,
Janesville,2018,ROK18,309,3,3,E POST,A,no,99,,99,93,99,,99,99,96
Janesville,2018,ROK18,310,3,4,M POST,B,no,99,,99,99,99,,99,99,99
Janesville,2018,ROK18,401,4,1,Check,none,,,,,,,,,,
Janesville,2018,ROK18,402,4,8,L POST with residual,C,yes,99,,99,99,98,,99,99,98
Janesville,2018,ROK18,403,4,6,E POST with residual,A,yes,99,,99,98,95,,99,99,97
Janesville,2018,ROK18,404,4,4,M POST,B,no,99,,99,99,99,,99,99,99
Janesville,2018,ROK18,405,4,2,PRE,none,,99,,99,93,25,,99,99,40
Janesville,2018,ROK18,406,4,3,E POST,A,no,99,,99,99,94,,99,99,97
Janesville,2018,ROK18,407,4,7,M POST with residual,B,yes,99,,99,99,97,,99,99,98
Janesville,2018,ROK18,409,4,5,L POST,C,no,99,,99,99,99,,99,99,99
Lancaster,2018,LAN18,101,1,4,M POST,B,no,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,102,1,3,E POST,A,no,99,99,99,99,99,98,,99,99
Lancaster,2018,LAN18,103,1,5,L POST,C,no,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,105,1,7,M POST with residual,B,yes,99,99,99,98,99,99,,99,98
Lancaster,2018,LAN18,106,1,2,PRE,none,,99,99,99,90,99,94,,99,93
Lancaster,2018,LAN18,108,1,8,L POST with residual,C,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,109,1,1,Check,none,,,,,,,,,,
Lancaster,2018,LAN18,110,1,6,E POST with residual,A,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,201,2,7,M POST with residual,B,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,202,2,8,L POST with residual,C,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,203,2,2,PRE,none,,99,99,99,99,99,93,,94,95
Lancaster,2018,LAN18,204,2,4,M POST,B,no,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,206,2,1,Check,none,,,,,,,,,,
Lancaster,2018,LAN18,208,2,6,E POST with residual,A,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,209,2,5,L POST,C,no,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,210,2,3,E POST,A,no,99,99,99,99,99,98,,99,99
Lancaster,2018,LAN18,301,3,2,PRE,none,,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,303,3,3,E POST,A,no,99,99,95,99,99,99,,99,98
Lancaster,2018,LAN18,304,3,1,Check,none,,,,,,,,,,
Lancaster,2018,LAN18,305,3,6,E POST with residual,A,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,306,3,5,L POST,C,no,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,307,3,8,L POST with residual,C,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,308,3,4,M POST,B,no,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,310,3,7,M POST with residual,B,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,401,4,4,M POST,B,no,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,402,4,6,E POST with residual,A,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,403,4,5,L POST,C,no,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,404,4,8,L POST with residual,C,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,406,4,2,PRE,none,,99,99,99,99,99,99,,99,96
Lancaster,2018,LAN18,407,4,7,M POST with residual,B,yes,99,99,99,99,99,99,,99,99
Lancaster,2018,LAN18,408,4,3,E POST,A,no,95,99,99,99,99,98,,99,97
Lancaster,2018,LAN18,410,4,1,Check,none,,,,,,,,,,
