des,study,trt,run,rep,ph,chph,perch
4X Clarity + Durango DMA,3,14,1,1,4.65,-2.803333,0.37611804
4X Clarity + Durango DMA,3,14,1,2,4.66,-2.793333,0.374776358
4X Clarity + Durango DMA,3,14,1,3,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA,3,14,2,1,4.76,-2.693333,0.361359542
4X Clarity + Durango DMA,3,14,2,2,4.76,-2.693333,0.361359542
4X Clarity + Durango DMA,3,14,2,3,4.74,-2.713333,0.364042905
4X Clarity + Roundup Powermax,3,15,1,1,4.61,-2.843333,0.381484767
4X Clarity + Roundup Powermax,3,15,1,2,4.58,-2.873333,0.385509812
4X Clarity + Roundup Powermax,3,15,1,3,4.61,-2.843333,0.381484767
4X Clarity + Roundup Powermax,3,15,2,1,4.69,-2.763333,0.370751314
4X Clarity + Roundup Powermax,3,15,2,2,4.69,-2.763333,0.370751314
4X Clarity + Roundup Powermax,3,15,2,3,4.68,-2.773333,0.372092995
4X Clarity + AMS,3,16,1,1,7.19,-0.263333,0.035330905
4X Clarity + AMS,3,16,1,2,7.2,-0.253333,0.033989223
4X Clarity + AMS,3,16,1,3,7.15,-0.303333,0.040697632
4X Clarity + AMS,3,16,2,1,7.16,-0.293333,0.03935595
4X Clarity + AMS,3,16,2,2,7.15,-0.303333,0.040697632
4X Clarity + AMS,3,16,2,3,7.14,-0.313333,0.042039313
4X Clarity + Durango DMA + AMS,3,17,1,1,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,17,1,2,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,17,1,3,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,17,2,1,4.75,-2.703333,0.362701224
4X Clarity + Durango DMA + AMS,3,17,2,2,4.74,-2.713333,0.364042905
4X Clarity + Durango DMA + AMS,3,17,2,3,4.74,-2.713333,0.364042905
4X Clarity + Roundup Powermax + AMS,3,18,1,1,4.59,-2.863333,0.38416813
4X Clarity + Roundup Powermax + AMS,3,18,1,2,4.54,-2.913333,0.390876538
4X Clarity + Roundup Powermax + AMS,3,18,1,3,4.58,-2.873333,0.385509812
4X Clarity + Roundup Powermax + AMS,3,18,2,1,4.66,-2.793333,0.374776358
4X Clarity + Roundup Powermax + AMS,3,18,2,2,4.65,-2.803333,0.37611804
4X Clarity + Roundup Powermax + AMS,3,18,2,3,4.64,-2.813333,0.377459722
1X Clarity,3,19,1,1,7.28,-0.173333,0.02325577
1X Clarity,3,19,1,2,7.29,-0.163333,0.021914089
1X Clarity,3,19,1,3,7.3,-0.153333,0.020572407
1X Clarity,3,19,2,1,7.25,-0.203333,0.027280815
1X Clarity,3,19,2,2,7.24,-0.213333,0.028622497
1X Clarity,3,19,2,3,7.27,-0.183333,0.024597452
1X Clarity + Durango DMA,3,20,1,1,4.94,-2.513333,0.337209273
1X Clarity + Durango DMA,3,20,1,2,4.92,-2.533333,0.339892636
1X Clarity + Durango DMA,3,20,1,3,4.94,-2.513333,0.337209273
1X Clarity + Durango DMA,3,20,2,1,5.03,-2.423333,0.325134138
1X Clarity + Durango DMA,3,20,2,2,5.03,-2.423333,0.325134138
1X Clarity + Durango DMA,3,20,2,3,5.02,-2.433333,0.32647582
1X Clarity + Roundup Powermax,3,21,1,1,4.88,-2.573333,0.345259362
1X Clarity + Roundup Powermax,3,21,1,2,4.88,-2.573333,0.345259362
1X Clarity + Roundup Powermax,3,21,1,3,4.89,-2.563333,0.343917681
1X Clarity + Roundup Powermax,3,21,2,1,4.99,-2.463333,0.330500865
1X Clarity + Roundup Powermax,3,21,2,2,4.95,-2.503333,0.335867591
1X Clarity + Roundup Powermax,3,21,2,3,4.99,-2.463333,0.330500865
1X Clarity + AMS,3,22,1,1,7.25,-0.203333,0.027280815
1X Clarity + AMS,3,22,1,2,7.27,-0.183333,0.024597452
1X Clarity + AMS,3,22,1,3,7.28,-0.173333,0.02325577
1X Clarity + AMS,3,22,2,1,7.2,-0.253333,0.033989223
1X Clarity + AMS,3,22,2,2,7.22,-0.233333,0.03130586
1X Clarity + AMS,3,22,2,3,7.23,-0.223333,0.029964178
1X Clarity + Durango DMA + AMS,3,23,1,1,4.92,-2.533333,0.339892636
1X Clarity + Durango DMA + AMS,3,23,1,2,4.93,-2.523333,0.338550954
1X Clarity + Durango DMA + AMS,3,23,1,3,4.92,-2.533333,0.339892636
1X Clarity + Durango DMA + AMS,3,23,2,1,5.01,-2.443333,0.327817501
1X Clarity + Durango DMA + AMS,3,23,2,2,4.99,-2.463333,0.330500865
1X Clarity + Durango DMA + AMS,3,23,2,3,4.99,-2.463333,0.330500865
1X Clarity + Roundup Powermax + AMS,3,24,1,1,4.88,-2.573333,0.345259362
1X Clarity + Roundup Powermax + AMS,3,24,1,2,4.88,-2.573333,0.345259362
1X Clarity + Roundup Powermax + AMS,3,24,1,3,4.9,-2.553333,0.342575999
1X Clarity + Roundup Powermax + AMS,3,24,2,1,4.92,-2.533333,0.339892636
1X Clarity + Roundup Powermax + AMS,3,24,2,2,4.91,-2.543333,0.341234318
1X Clarity + Roundup Powermax + AMS,3,24,2,3,4.93,-2.523333,0.338550954
4X Diflexx,3,25,1,1,3.2,-4.253333,0.570661877
4X Diflexx,3,25,1,2,3.22,-4.233333,0.567978514
4X Diflexx,3,25,1,3,3.2,-4.253333,0.570661877
4X Diflexx,3,25,2,1,3.24,-4.213333,0.565295151
4X Diflexx,3,25,2,2,3.24,-4.213333,0.565295151
4X Diflexx,3,25,2,3,3.25,-4.203333,0.563953469
4X Diflexx + Durango DMA,3,26,1,1,4.59,-2.863333,0.38416813
4X Diflexx + Durango DMA,3,26,1,2,4.58,-2.873333,0.385509812
4X Diflexx + Durango DMA,3,26,1,3,4.58,-2.873333,0.385509812
4X Diflexx + Durango DMA,3,26,2,1,4.35,-3.103333,0.416368489
4X Diflexx + Durango DMA,3,26,2,2,4.4,-3.053333,0.409660081
4X Diflexx + Durango DMA,3,26,2,3,4.4,-3.053333,0.409660081
4X Diflexx + Roundup Powermax,3,27,1,1,4.45,-3.003333,0.402951673
4X Diflexx + Roundup Powermax,3,27,1,2,4.46,-2.993333,0.401609991
4X Diflexx + Roundup Powermax,3,27,1,3,4.46,-2.993333,0.401609991
4X Diflexx + Roundup Powermax,3,27,2,1,4.33,-3.123333,0.419051852
4X Diflexx + Roundup Powermax,3,27,2,2,4.35,-3.103333,0.416368489
4X Diflexx + AMS,3,28,1,1,3.73,-3.723333,0.49955275
4X Diflexx + AMS,3,28,1,2,3.71,-3.743333,0.502236114
4X Diflexx + AMS,3,28,1,3,3.71,-3.743333,0.502236114
4X Diflexx + AMS,3,28,2,1,3.5,-3.953333,0.530411428
4X Diflexx + AMS,3,28,2,2,3.52,-3.933333,0.527728065
4X Diflexx + AMS,3,28,2,3,3.53,-3.923333,0.526386383
4X Diflexx + Durango DMA + AMS,3,29,1,1,4.59,-2.863333,0.38416813
4X Diflexx + Durango DMA + AMS,3,29,1,2,4.59,-2.863333,0.38416813
4X Diflexx + Durango DMA + AMS,3,29,1,3,4.57,-2.883333,0.386851493
4X Diflexx + Durango DMA + AMS,3,29,2,1,4.46,-2.993333,0.401609991
4X Diflexx + Durango DMA + AMS,3,29,2,2,4.46,-2.993333,0.401609991
4X Diflexx + Roundup Powermax + AMS,3,30,1,1,4.43,-3.023333,0.405635036
4X Diflexx + Roundup Powermax + AMS,3,30,1,2,4.42,-3.033333,0.406976718
4X Diflexx + Roundup Powermax + AMS,3,30,1,3,4.42,-3.033333,0.406976718
4X Diflexx + Roundup Powermax + AMS,3,30,2,1,4.35,-3.103333,0.416368489
4X Diflexx + Roundup Powermax + AMS,3,30,2,2,4.34,-3.113333,0.417710171
4X Diflexx Duo,3,31,1,1,2.99,-4.463333,0.598837191
4X Diflexx Duo,3,31,1,2,2.97,-4.483333,0.601520555
4X Diflexx Duo,3,31,1,3,2.96,-4.493333,0.602862236
4X Diflexx Duo,3,31,2,1,2.92,-4.533333,0.608228963
4X Diflexx Duo,3,31,2,2,2.94,-4.513333,0.6055456
4X Diflexx Duo,3,31,2,3,2.93,-4.523333,0.606887281
1X Diflexx,3,32,1,1,6.18,-1.273333,0.17084075
1X Diflexx,3,32,1,2,6.18,-1.273333,0.17084075
1X Diflexx,3,32,1,3,6.22,-1.233333,0.165474024
1X Diflexx,3,32,2,1,6.28,-1.173333,0.157423934
1X Diflexx,3,32,2,2,6.21,-1.243333,0.166815705
1X Diflexx,3,32,2,3,6.3,-1.153333,0.15474057
1X Diflexx + Durango DMA,3,33,1,1,4.9,-2.553333,0.342575999
1X Diflexx + Durango DMA,3,33,1,2,4.91,-2.543333,0.341234318
1X Diflexx + Durango DMA,3,33,1,3,4.93,-2.523333,0.338550954
1X Diflexx + Durango DMA,3,33,2,1,4.72,-2.733333,0.366726269
1X Diflexx + Durango DMA,3,33,2,2,4.74,-2.713333,0.364042905
1X Diflexx + Durango DMA,3,33,2,3,4.74,-2.713333,0.364042905
1X Diflexx + Roundup Powermax,3,34,1,1,4.78,-2.673333,0.358676179
1X Diflexx + Roundup Powermax,3,34,1,2,4.81,-2.643333,0.354651134
1X Diflexx + Roundup Powermax,3,34,1,3,4.79,-2.663333,0.357334497
1X Diflexx + Roundup Powermax,3,34,2,1,4.69,-2.763333,0.370751314
1X Diflexx + Roundup Powermax,3,34,2,2,4.68,-2.773333,0.372092995
1X Diflexx + Roundup Powermax,3,34,2,3,4.73,-2.723333,0.365384587
1X Diflexx + AMS,3,35,1,1,6.34,-1.113333,0.149373844
1X Diflexx + AMS,3,35,1,2,6.34,-1.113333,0.149373844
1X Diflexx + AMS,3,35,1,3,6.32,-1.133333,0.152057207
1X Diflexx + AMS,3,35,2,1,6.31,-1.143333,0.153398889
1X Diflexx + AMS,3,35,2,2,6.3,-1.153333,0.15474057
1X Diflexx + AMS,3,35,2,3,6.31,-1.143333,0.153398889
1X Diflexx + Durango DMA + AMS,3,36,1,1,4.87,-2.583333,0.346601044
1X Diflexx + Durango DMA + AMS,3,36,1,2,4.89,-2.563333,0.343917681
1X Diflexx + Durango DMA + AMS,3,36,1,3,4.87,-2.583333,0.346601044
1X Diflexx + Durango DMA + AMS,3,36,2,1,4.75,-2.703333,0.362701224
1X Diflexx + Durango DMA + AMS,3,36,2,2,4.77,-2.683333,0.36001786
1X Diflexx + Durango DMA + AMS,3,36,2,3,4.75,-2.703333,0.362701224
1X Diflexx + Roundup Powermax + AMS,3,37,1,1,4.72,-2.733333,0.366726269
1X Diflexx + Roundup Powermax + AMS,3,37,1,2,4.73,-2.723333,0.365384587
1X Diflexx + Roundup Powermax + AMS,3,37,1,3,4.76,-2.693333,0.361359542
1X Diflexx + Roundup Powermax + AMS,3,37,2,1,4.68,-2.773333,0.372092995
1X Diflexx + Roundup Powermax + AMS,3,37,2,2,4.7,-2.753333,0.369409632
1X Diflexx + Roundup Powermax + AMS,3,37,2,3,4.68,-2.773333,0.372092995
1X Diflexx Duo,3,38,1,1,5.44,-2.013333,0.270125191
1X Diflexx Duo,3,38,1,2,5.4,-2.053333,0.275491918
1X Diflexx Duo,3,38,1,3,5.39,-2.063333,0.276833599
1X Diflexx Duo,3,38,2,1,5.34,-2.113333,0.283542007
1X Diflexx Duo,3,38,2,2,5.33,-2.123333,0.284883689
1X Diflexx Duo,3,38,2,3,5.28,-2.173333,0.291592097
4X Diflexx Duo + Durango DMA,3,39,1,1,4.34,-3.113333,0.417710171
4X Diflexx Duo + Durango DMA,3,39,1,2,4.33,-3.123333,0.419051852
4X Diflexx Duo + Durango DMA,3,39,1,3,4.43,-3.023333,0.405635036
4X Diflexx Duo + Durango DMA,3,39,2,1,4.33,-3.123333,0.419051852
4X Diflexx Duo + Durango DMA,3,39,2,2,4.34,-3.113333,0.417710171
4X Diflexx Duo + Durango DMA,3,39,2,3,4.34,-3.113333,0.417710171
4X Diflexx Duo + Roundup Powermax,3,40,1,1,4.18,-3.273333,0.439177077
4X Diflexx Duo + Roundup Powermax,3,40,1,2,4.2,-3.253333,0.436493714
4X Diflexx Duo + Roundup Powermax,3,40,1,3,4.19,-3.263333,0.437835395
4X Diflexx Duo + Roundup Powermax,3,40,2,1,4.19,-3.263333,0.437835395
4X Diflexx Duo + Roundup Powermax,3,40,2,2,4.18,-3.273333,0.439177077
4X Diflexx Duo + Roundup Powermax,3,40,2,3,4.18,-3.273333,0.439177077
4X Diflexx Duo + AMS,3,41,1,1,3.28,-4.173333,0.559928424
4X Diflexx Duo + AMS,3,41,1,2,3.26,-4.193333,0.562611787
4X Diflexx Duo + AMS,3,41,1,3,3.26,-4.193333,0.562611787
4X Diflexx Duo + AMS,3,41,2,1,3.26,-4.193333,0.562611787
4X Diflexx Duo + AMS,3,41,2,2,3.27,-4.183333,0.561270106
4X Diflexx Duo + AMS,3,41,2,3,3.26,-4.193333,0.562611787
4X Diflexx Duo + Durango DMA + AMS,3,42,1,1,4.37,-3.083333,0.413685126
4X Diflexx Duo + Durango DMA + AMS,3,42,1,2,4.35,-3.103333,0.416368489
4X Diflexx Duo + Durango DMA + AMS,3,42,1,3,4.34,-3.113333,0.417710171
4X Diflexx Duo + Durango DMA + AMS,3,42,2,1,4.33,-3.123333,0.419051852
4X Diflexx Duo + Durango DMA + AMS,3,42,2,2,4.33,-3.123333,0.419051852
4X Diflexx Duo + Durango DMA + AMS,3,42,2,3,4.31,-3.143333,0.421735216
4X Diflexx Duo + Roundup Powermax + AMS,3,43,1,1,4.17,-3.283333,0.440518759
4X Diflexx Duo + Roundup Powermax + AMS,3,43,1,2,4.17,-3.283333,0.440518759
4X Diflexx Duo + Roundup Powermax + AMS,3,43,1,3,4.16,-3.293333,0.44186044
4X Diflexx Duo + Roundup Powermax + AMS,3,43,2,1,4.15,-3.303333,0.443202122
4X Diflexx Duo + Roundup Powermax + AMS,3,43,2,2,4.15,-3.303333,0.443202122
4X Diflexx Duo + Roundup Powermax + AMS,3,43,2,3,4.16,-3.293333,0.44186044
1X Diflexx Duo + Durango DMA,3,44,1,1,4.65,-2.803333,0.37611804
1X Diflexx Duo + Durango DMA,3,44,1,2,4.66,-2.793333,0.374776358
1X Diflexx Duo + Durango DMA,3,44,1,3,4.66,-2.793333,0.374776358
1X Diflexx Duo + Durango DMA,3,44,2,1,4.66,-2.793333,0.374776358
1X Diflexx Duo + Durango DMA,3,44,2,2,4.66,-2.793333,0.374776358
1X Diflexx Duo + Durango DMA,3,44,2,3,4.66,-2.793333,0.374776358
1X Diflexx Duo + Roundup Powermax,3,45,1,1,4.48,-2.973333,0.398926628
1X Diflexx Duo + Roundup Powermax,3,45,1,2,4.49,-2.963333,0.397584946
1X Diflexx Duo + Roundup Powermax,3,45,1,3,4.51,-2.943333,0.394901583
1X Diflexx Duo + Roundup Powermax,3,45,2,1,4.53,-2.923333,0.39221822
1X Diflexx Duo + Roundup Powermax,3,45,2,2,4.53,-2.923333,0.39221822
1X Diflexx Duo + Roundup Powermax,3,45,2,3,4.54,-2.913333,0.390876538
1X Diflexx Duo + AMS,3,46,1,1,5.33,-2.123333,0.284883689
1X Diflexx Duo + AMS,3,46,1,2,5.33,-2.123333,0.284883689
1X Diflexx Duo + AMS,3,46,1,3,5.34,-2.113333,0.283542007
1X Diflexx Duo + AMS,3,46,2,1,5.31,-2.143333,0.287567052
1X Diflexx Duo + AMS,3,46,2,2,5.25,-2.203333,0.295617142
1X Diflexx Duo + AMS,3,46,2,3,5.3,-2.153333,0.288908734
1X Diflexx Duo + Durango DMA + AMS,3,47,1,1,4.64,-2.813333,0.377459722
1X Diflexx Duo + Durango DMA + AMS,3,47,1,2,4.64,-2.813333,0.377459722
1X Diflexx Duo + Durango DMA + AMS,3,47,1,3,4.65,-2.803333,0.37611804
1X Diflexx Duo + Durango DMA + AMS,3,47,2,1,4.64,-2.813333,0.377459722
1X Diflexx Duo + Durango DMA + AMS,3,47,2,2,4.65,-2.803333,0.37611804
1X Diflexx Duo + Durango DMA + AMS,3,47,2,3,4.65,-2.803333,0.37611804
1X Diflexx Duo + Roundup Powermax + AMS,3,48,1,1,4.54,-2.913333,0.390876538
1X Diflexx Duo + Roundup Powermax + AMS,3,48,1,2,4.53,-2.923333,0.39221822
1X Diflexx Duo + Roundup Powermax + AMS,3,48,1,3,4.54,-2.913333,0.390876538
1X Diflexx Duo + Roundup Powermax + AMS,3,48,2,1,4.55,-2.903333,0.389534856
1X Diflexx Duo + Roundup Powermax + AMS,3,48,2,2,4.55,-2.903333,0.389534856
1X Diflexx Duo + Roundup Powermax + AMS,3,48,2,3,4.57,-2.883333,0.386851493
Nontreated check,3,49,1,1,7.5,,
Nontreated check,3,49,1,2,7.43,,
Nontreated check,3,49,1,3,7.4,,
Nontreated check,3,49,2,1,7.5,,
Nontreated check,3,49,2,2,7.47,,
Nontreated check,3,49,2,3,7.42,,
4X Enlist One,4,1,1,1,6.55,-1.011667,0.133788885
4X Enlist One,4,1,1,2,6.54,-1.021667,0.135111345
4X Enlist One,4,1,1,3,6.56,-1.001667,0.132466426
4X Enlist One,4,1,2,1,6.63,-0.931667,0.123209208
4X Enlist One,4,1,2,2,6.62,-0.941667,0.124531667
4X Enlist One,4,1,2,3,6.67,-0.891667,0.117919369
4X Enlist One + Durango DMA,4,2,1,1,4.92,-2.641667,0.349349819
4X Enlist One + Durango DMA,4,2,1,2,4.93,-2.631667,0.34802736
4X Enlist One + Durango DMA,4,2,1,3,4.93,-2.631667,0.34802736
4X Enlist One + Durango DMA,4,2,2,1,4.93,-2.631667,0.34802736
4X Enlist One + Durango DMA,4,2,2,2,4.94,-2.621667,0.3467049
4X Enlist One + Durango DMA,4,2,2,3,4.93,-2.631667,0.34802736
4X Enlist One + Roundup Powermax,4,3,1,1,4.95,-2.611667,0.34538244
4X Enlist One + Roundup Powermax,4,3,1,2,4.96,-2.601667,0.34405998
4X Enlist One + Roundup Powermax,4,3,1,3,4.97,-2.591667,0.342737521
4X Enlist One + Roundup Powermax,4,3,2,1,4.96,-2.601667,0.34405998
4X Enlist One + Roundup Powermax,4,3,2,2,4.97,-2.591667,0.342737521
4X Enlist One + Roundup Powermax,4,3,2,3,5,-2.561667,0.338770142
4X Enlist One + Select Max,4,4,1,1,6.43,-1.131667,0.149658402
4X Enlist One + Select Max,4,4,1,2,6.47,-1.091667,0.144368563
4X Enlist One + Select Max,4,4,1,3,6.46,-1.101667,0.145691023
4X Enlist One + Select Max,4,4,2,1,6.57,-0.991667,0.131143966
4X Enlist One + Select Max,4,4,2,2,6.5,-1.061667,0.140401184
4X Enlist One + Select Max,4,4,2,3,6.53,-1.031667,0.136433805
4X Enlist One + AMS,4,5,1,1,6.73,-0.831667,0.109984611
4X Enlist One + AMS,4,5,1,2,6.71,-0.851667,0.11262953
4X Enlist One + AMS,4,5,1,3,6.71,-0.851667,0.11262953
4X Enlist One + AMS,4,5,2,1,6.8,-0.761667,0.100727393
4X Enlist One + AMS,4,5,2,2,6.8,-0.761667,0.100727393
4X Enlist One + AMS,4,5,2,3,6.77,-0.791667,0.104694772
4X Enlist One + Durango DMA + AMS,4,6,1,1,4.96,-2.601667,0.34405998
4X Enlist One + Durango DMA + AMS,4,6,1,2,5.03,-2.531667,0.334802762
4X Enlist One + Durango DMA + AMS,4,6,1,3,5.06,-2.501667,0.330835383
4X Enlist One + Durango DMA + AMS,4,6,2,1,5.13,-2.431667,0.321578165
4X Enlist One + Durango DMA + AMS,4,6,2,2,5.12,-2.441667,0.322900625
4X Enlist One + Durango DMA + AMS,4,6,2,3,5.11,-2.451667,0.324223085
4X Enlist One + Roundup Powermax + AMS,4,7,1,1,5.04,-2.521667,0.333480303
4X Enlist One + Roundup Powermax + AMS,4,7,1,2,5.03,-2.531667,0.334802762
4X Enlist One + Roundup Powermax + AMS,4,7,1,3,5.02,-2.541667,0.336125222
4X Enlist One + Roundup Powermax + AMS,4,7,2,1,5.05,-2.511667,0.332157843
4X Enlist One + Roundup Powermax + AMS,4,7,2,2,5.04,-2.521667,0.333480303
4X Enlist One + Roundup Powermax + AMS,4,7,2,3,5.05,-2.511667,0.332157843
4X Enlist One + Select Max + AMS,4,8,1,1,6.03,-1.531667,0.202556791
4X Enlist One + Select Max + AMS,4,8,1,2,6.11,-1.451667,0.191977113
4X Enlist One + Select Max + AMS,4,8,1,3,6.12,-1.441667,0.190654653
4X Enlist One + Select Max + AMS,4,8,2,1,6.54,-1.021667,0.135111345
4X Enlist One + Select Max + AMS,4,8,2,2,6.27,-1.291667,0.170817758
4X Enlist One + Select Max + AMS,4,8,2,3,6.13,-1.431667,0.189332194
4X Enlist Duo,4,9,1,1,5.72,-1.841667,0.243553042
4X Enlist Duo,4,9,1,2,5.73,-1.831667,0.242230582
4X Enlist Duo,4,9,1,3,5.73,-1.831667,0.242230582
4X Enlist Duo,4,9,2,1,5.65,-1.911667,0.25281026
4X Enlist Duo,4,9,2,2,5.66,-1.901667,0.2514878
4X Enlist Duo,4,9,2,3,5.68,-1.881667,0.248842881
4X Enlist Duo + AMS,4,10,1,1,5.72,-1.841667,0.243553042
4X Enlist Duo + AMS,4,10,1,2,5.72,-1.841667,0.243553042
4X Enlist Duo + AMS,4,10,1,3,5.71,-1.851667,0.244875502
4X Enlist Duo + AMS,4,10,2,1,5.63,-1.931667,0.255455179
4X Enlist Duo + AMS,4,10,2,2,5.63,-1.931667,0.255455179
4X Enlist Duo + AMS,4,10,2,3,5.64,-1.921667,0.25413272
1X Enlist One,4,11,1,1,6.92,-0.641667,0.084857876
1X Enlist One,4,11,1,2,6.91,-0.651667,0.086180336
1X Enlist One,4,11,1,3,6.9,-0.661667,0.087502795
1X Enlist One,4,11,2,1,6.94,-0.621667,0.082212956
1X Enlist One,4,11,2,2,6.96,-0.601667,0.079568037
1X Enlist One,4,11,2,3,6.99,-0.571667,0.075600658
1X Enlist One + Durango DMA,4,12,1,1,5.01,-2.551667,0.337447682
1X Enlist One + Durango DMA,4,12,1,2,5.03,-2.531667,0.334802762
1X Enlist One + Durango DMA,4,12,1,3,5.03,-2.531667,0.334802762
1X Enlist One + Durango DMA,4,12,2,1,4.98,-2.581667,0.341415061
1X Enlist One + Durango DMA,4,12,2,2,5.02,-2.541667,0.336125222
1X Enlist One + Durango DMA,4,12,2,3,5.02,-2.541667,0.336125222
1X Enlist One + Roundup Powermax,4,13,1,1,5.02,-2.541667,0.336125222
1X Enlist One + Roundup Powermax,4,13,1,2,5.02,-2.541667,0.336125222
1X Enlist One + Roundup Powermax,4,13,1,3,5.01,-2.551667,0.337447682
1X Enlist One + Roundup Powermax,4,13,2,1,4.92,-2.641667,0.349349819
1X Enlist One + Roundup Powermax,4,13,2,2,4.92,-2.641667,0.349349819
1X Enlist One + Roundup Powermax,4,13,2,3,4.95,-2.611667,0.34538244
1X Enlist One + Select Max,4,14,1,1,6.47,-1.091667,0.144368563
1X Enlist One + Select Max,4,14,1,2,6.46,-1.101667,0.145691023
1X Enlist One + Select Max,4,14,1,3,6.46,-1.101667,0.145691023
1X Enlist One + Select Max,4,14,2,1,6.65,-0.911667,0.120564288
1X Enlist One + Select Max,4,14,2,2,6.64,-0.921667,0.121886748
1X Enlist One + Select Max,4,14,2,3,6.62,-0.941667,0.124531667
1X Enlist One + AMS,4,15,1,1,7,-0.561667,0.074278198
1X Enlist One + AMS,4,15,1,2,6.97,-0.591667,0.078245577
1X Enlist One + AMS,4,15,1,3,6.94,-0.621667,0.082212956
1X Enlist One + AMS,4,15,2,1,7.14,-0.421667,0.055763762
1X Enlist One + AMS,4,15,2,2,7.15,-0.411667,0.054441302
1X Enlist One + AMS,4,15,2,3,7.14,-0.421667,0.055763762
1X Enlist One + Durango DMA + AMS,4,16,1,1,5.07,-2.491667,0.329512924
1X Enlist One + Durango DMA + AMS,4,16,1,2,5.07,-2.491667,0.329512924
1X Enlist One + Durango DMA + AMS,4,16,1,3,5.1,-2.461667,0.325545544
1X Enlist One + Durango DMA + AMS,4,16,2,1,5.07,-2.491667,0.329512924
1X Enlist One + Durango DMA + AMS,4,16,2,2,5.05,-2.511667,0.332157843
1X Enlist One + Durango DMA + AMS,4,16,2,3,5.06,-2.501667,0.330835383
1X Enlist One + Roundup Powermax + AMS,4,17,1,1,5.03,-2.531667,0.334802762
1X Enlist One + Roundup Powermax + AMS,4,17,1,2,5.04,-2.521667,0.333480303
1X Enlist One + Roundup Powermax + AMS,4,17,1,3,5.02,-2.541667,0.336125222
1X Enlist One + Roundup Powermax + AMS,4,17,2,1,4.97,-2.591667,0.342737521
1X Enlist One + Roundup Powermax + AMS,4,17,2,2,5.03,-2.531667,0.334802762
1X Enlist One + Roundup Powermax + AMS,4,17,2,3,4.98,-2.581667,0.341415061
1X Enlist One + Select Max + AMS,4,18,1,1,6.69,-0.871667,0.115274449
1X Enlist One + Select Max + AMS,4,18,1,2,6.68,-0.881667,0.116596909
1X Enlist One + Select Max + AMS,4,18,1,3,6.74,-0.821667,0.108662151
1X Enlist One + Select Max + AMS,4,18,2,1,6.71,-0.851667,0.11262953
1X Enlist One + Select Max + AMS,4,18,2,2,6.79,-0.771667,0.102049852
1X Enlist One + Select Max + AMS,4,18,2,3,6.79,-0.771667,0.102049852
1X Enlist Duo,4,19,1,1,5.83,-1.731667,0.229005985
1X Enlist Duo,4,19,1,2,5.82,-1.741667,0.230328445
1X Enlist Duo,4,19,1,3,5.82,-1.741667,0.230328445
1X Enlist Duo,4,19,2,1,5.82,-1.741667,0.230328445
1X Enlist Duo,4,19,2,2,5.79,-1.771667,0.234295824
1X Enlist Duo,4,19,2,3,5.81,-1.751667,0.231650904
1X Enlist Duo + AMS,4,20,1,1,5.81,-1.751667,0.231650904
1X Enlist Duo + AMS,4,20,1,2,5.81,-1.751667,0.231650904
1X Enlist Duo + AMS,4,20,1,3,5.8,-1.761667,0.232973364
1X Enlist Duo + AMS,4,20,2,1,5.78,-1.781667,0.235618284
1X Enlist Duo + AMS,4,20,2,2,5.78,-1.781667,0.235618284
1X Enlist Duo + AMS,4,20,2,3,5.77,-1.791667,0.236940743
Nontreated check,4,21,1,1,7.54,,
Nontreated check,4,21,1,2,7.53,,
Nontreated check,4,21,1,3,7.53,,
Nontreated check,4,21,2,1,7.59,,
Nontreated check,4,21,2,2,7.6,,
Nontreated check,4,21,2,3,7.58,,
