ph,perch,conc,dic form,gly,dra,gr15,dim,no grass control,conc: 4x,conc: 1x,dic: BAPMA,dic: DGA+VG,gly: DMA,gly: GLY-K
5.69,0.236924,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.67,0.239607,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.67,0.239607,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.69,0.236924,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.7,0.235583,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.69,0.236924,4x,DGA+VG,no,no,no,no,yes,yes,no,no,yes,no,no
5.05,0.322754,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.05,0.322754,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.05,0.322754,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.09,0.317389,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.09,0.317389,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.09,0.317389,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,yes,no
5.08,0.318730,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.16,0.308002,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.15,0.309343,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.15,0.309343,4x,DGA+VG,yes,no,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.08,0.318730,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.14,0.310684,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.14,0.310684,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.12,0.313366,4x,DGA+VG,yes,yes,no,no,no,yes,no,no,yes,no,yes
5.18,0.305320,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.15,0.309343,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.14,0.310684,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.19,0.303979,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.18,0.305320,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
5.18,0.305320,4x,DGA+VG,yes,yes,yes,no,no,yes,no,no,yes,no,yes
6.43,0.137684,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.45,0.135002,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.45,0.135002,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.45,0.135002,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.46,0.133661,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
6.46,0.133661,1x,DGA+VG,no,no,no,no,yes,no,yes,no,yes,no,no
5.15,0.309343,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.26,0.294591,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.17,0.306661,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.18,0.305320,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.18,0.305320,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.19,0.303979,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,yes,no
5.15,0.309343,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,no,yes
5.13,0.312025,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,no,yes
5.14,0.310684,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,no,yes
5.19,0.303979,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,no,yes
5.19,0.303979,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,no,yes
5.19,0.303979,1x,DGA+VG,yes,no,no,no,no,no,yes,no,yes,no,yes
5.14,0.310684,1x,DGA+VG,yes,yes,no,no,no,no,yes,no,yes,no,yes
5.14,0.310684,1x,DGA+VG,yes,yes,no,no,no,no,yes,no,yes,no,yes
5.15,0.309343,1x,DGA+VG,yes,yes,no,no,no,no,yes,no,yes,no,yes
5.16,0.308002,1x,DGA+VG,yes,yes,no,no,no,no,yes,no,yes,no,yes
5.17,0.306661,1x,DGA+VG,yes,yes,no,no,no,no,yes,no,yes,no,yes
5.18,0.305320,1x,DGA+VG,yes,yes,no,no,no,no,yes,no,yes,no,yes
5.15,0.309343,1x,DGA+VG,yes,yes,yes,no,no,no,yes,no,yes,no,yes
5.16,0.308002,1x,DGA+VG,yes,yes,yes,no,no,no,yes,no,yes,no,yes
5.17,0.306661,1x,DGA+VG,yes,yes,yes,no,no,no,yes,no,yes,no,yes
5.22,0.299955,1x,DGA+VG,yes,yes,yes,no,no,no,yes,no,yes,no,yes
5.23,0.298614,1x,DGA+VG,yes,yes,yes,no,no,no,yes,no,yes,no,yes
5.21,0.301296,1x,DGA+VG,yes,yes,yes,no,no,no,yes,no,yes,no,yes
6.55,0.121591,4x,BAPMA,no,no,no,no,yes,yes,no,yes,no,no,no
6.54,0.122933,4x,BAPMA,no,no,no,no,yes,yes,no,yes,no,no,no
6.52,0.125615,4x,BAPMA,no,no,no,no,yes,yes,no,yes,no,no,no
6.66,0.106840,4x,BAPMA,no,no,no,no,yes,yes,no,yes,no,no,no
6.63,0.110863,4x,BAPMA,no,no,no,no,yes,yes,no,yes,no,no,no
6.62,0.112204,4x,BAPMA,no,no,no,no,yes,yes,no,yes,no,no,no
4.73,0.365668,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.72,0.367009,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.72,0.367009,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.81,0.354940,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.81,0.354940,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.8,0.356281,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,yes,no
4.71,0.368350,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.7,0.369692,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.7,0.369692,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.78,0.358963,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.77,0.360304,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.76,0.361645,4x,BAPMA,yes,no,no,no,no,yes,no,yes,no,no,yes
4.71,0.368350,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.71,0.368350,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.7,0.369692,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.79,0.357622,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.78,0.358963,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.77,0.360304,4x,BAPMA,yes,yes,no,no,no,yes,no,yes,no,no,yes
4.73,0.365668,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.73,0.365668,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.72,0.367009,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.75,0.362986,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.76,0.361645,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
4.76,0.361645,4x,BAPMA,yes,yes,yes,no,no,yes,no,yes,no,no,yes
6.65,0.108181,1x,BAPMA,no,no,no,no,yes,no,yes,yes,no,no,no
6.65,0.108181,1x,BAPMA,no,no,no,no,yes,no,yes,yes,no,no,no
6.65,0.108181,1x,BAPMA,no,no,no,no,yes,no,yes,yes,no,no,no
6.72,0.098793,1x,BAPMA,no,no,no,no,yes,no,yes,yes,no,no,no
6.72,0.098793,1x,BAPMA,no,no,no,no,yes,no,yes,yes,no,no,no
6.71,0.100134,1x,BAPMA,no,no,no,no,yes,no,yes,yes,no,no,no
5.14,0.310684,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,yes,no
5.14,0.310684,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,yes,no
5.14,0.310684,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,yes,no
5.04,0.324095,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,yes,no
5.04,0.324095,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,yes,no
5.05,0.322754,1x,BAPMA,no,no,no,no,yes,no,yes,yes,no,yes,no
4.92,0.340188,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,no,yes
4.95,0.336165,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,no,yes
4.93,0.338847,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,no,yes
4.98,0.332141,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,no,yes
5,0.329459,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,no,yes
5,0.329459,1x,BAPMA,yes,no,no,no,no,no,yes,yes,no,no,yes
4.94,0.337506,1x,BAPMA,yes,yes,no,no,no,no,yes,yes,no,no,yes
4.94,0.337506,1x,BAPMA,yes,yes,no,no,no,no,yes,yes,no,no,yes
4.95,0.336165,1x,BAPMA,yes,yes,no,no,no,no,yes,yes,no,no,yes
4.92,0.340188,1x,BAPMA,yes,yes,no,no,no,no,yes,yes,no,no,yes
4.94,0.337506,1x,BAPMA,yes,yes,no,no,no,no,yes,yes,no,no,yes
4.95,0.336165,1x,BAPMA,yes,yes,no,no,no,no,yes,yes,no,no,yes
4.94,0.337506,1x,BAPMA,yes,yes,yes,no,no,no,yes,yes,no,no,yes
4.94,0.337506,1x,BAPMA,yes,yes,yes,no,no,no,yes,yes,no,no,yes
4.95,0.336165,1x,BAPMA,yes,yes,yes,no,no,no,yes,yes,no,no,yes
4.97,0.333482,1x,BAPMA,yes,yes,yes,no,no,no,yes,yes,no,no,yes
4.98,0.332141,1x,BAPMA,yes,yes,yes,no,no,no,yes,yes,no,no,yes
4.98,0.332141,1x,BAPMA,no,yes,yes,no,yes,no,yes,yes,no,no,yes
5.68,0.238266,4x,DGA+VG,no,no,no,yes,no,yes,no,no,yes,no,no
5.68,0.238266,4x,DGA+VG,no,no,no,yes,no,yes,no,no,yes,no,no
5.58,0.251676,4x,DGA+VG,no,no,no,yes,no,yes,no,no,yes,no,no
5.64,0.243630,4x,DGA+VG,no,no,no,yes,no,yes,no,no,yes,no,no
5.64,0.243630,4x,DGA+VG,no,no,no,yes,no,yes,no,no,yes,no,no
5.64,0.243630,4x,DGA+VG,no,no,no,yes,no,yes,no,no,yes,no,no
6.59,0.116227,4x,BAPMA,no,no,no,yes,no,yes,no,yes,no,no,no
6.55,0.121591,4x,BAPMA,no,no,no,yes,no,yes,no,yes,no,no,no
6.6,0.114886,4x,BAPMA,no,no,no,yes,no,yes,no,yes,no,no,no
6.57,0.118909,4x,BAPMA,no,no,no,yes,no,yes,no,yes,no,no,no
6.57,0.118909,4x,BAPMA,no,no,no,yes,no,yes,no,yes,no,no,no
6.57,0.118909,4x,BAPMA,no,no,no,yes,no,yes,no,yes,no,no,no
5.63,0.244971,4x,DGA+VG,no,yes,no,yes,no,yes,no,no,yes,no,no
5.61,0.247653,4x,DGA+VG,no,yes,no,yes,no,yes,no,no,yes,no,no
5.61,0.247653,4x,DGA+VG,no,yes,no,yes,no,yes,no,no,yes,no,no
5.6,0.248994,4x,DGA+VG,no,yes,no,yes,no,yes,no,no,yes,no,no
5.7,0.235583,4x,DGA+VG,no,yes,no,yes,no,yes,no,no,yes,no,no
5.59,0.250335,4x,DGA+VG,no,yes,no,yes,no,yes,no,no,yes,no,no
6.57,0.118909,4x,BAPMA,no,yes,no,yes,no,yes,no,yes,no,no,no
6.55,0.121591,4x,BAPMA,no,yes,no,yes,no,yes,no,yes,no,no,no
6.58,0.117568,4x,BAPMA,no,yes,no,yes,no,yes,no,yes,no,no,no
6.56,0.120250,4x,BAPMA,no,yes,no,yes,no,yes,no,yes,no,no,no
6.57,0.118909,4x,BAPMA,no,yes,no,yes,no,yes,no,yes,no,no,no
6.56,0.120250,4x,BAPMA,no,yes,no,yes,no,yes,no,yes,no,no,no
5.9,0.208762,4x,DGA+VG,no,yes,yes,yes,no,yes,no,no,yes,no,no
5.88,0.211444,4x,DGA+VG,no,yes,yes,yes,no,yes,no,no,yes,no,no
5.9,0.208762,4x,DGA+VG,no,yes,yes,yes,no,yes,no,no,yes,no,no
5.9,0.208762,4x,DGA+VG,no,yes,yes,yes,no,yes,no,no,yes,no,no
5.9,0.208762,4x,DGA+VG,no,yes,yes,yes,no,yes,no,no,yes,no,no
5.9,0.208762,4x,DGA+VG,no,yes,yes,yes,no,yes,no,no,yes,no,no
6.56,0.120250,4x,BAPMA,no,yes,yes,yes,no,yes,no,yes,no,no,no
6.57,0.118909,4x,BAPMA,no,yes,yes,yes,no,yes,no,yes,no,no,no
6.56,0.120250,4x,BAPMA,no,yes,yes,yes,no,yes,no,yes,no,no,no
6.59,0.116227,4x,BAPMA,no,yes,yes,yes,no,yes,no,yes,no,no,no
6.56,0.120250,4x,BAPMA,no,yes,yes,yes,no,yes,no,yes,no,no,no
6.57,0.118909,4x,BAPMA,no,yes,yes,yes,no,yes,no,yes,no,no,no
6.41,0.140367,1x,DGA+VG,no,no,no,yes,no,no,yes,no,yes,no,no
6.41,0.140367,1x,DGA+VG,no,no,no,yes,no,no,yes,no,yes,no,no
6.41,0.140367,1x,DGA+VG,no,no,no,yes,no,no,yes,no,yes,no,no
6.44,0.136343,1x,DGA+VG,no,no,no,yes,no,no,yes,no,yes,no,no
6.43,0.137684,1x,DGA+VG,no,no,no,yes,no,no,yes,no,yes,no,no
6.42,0.139026,1x,DGA+VG,no,no,no,yes,no,no,yes,no,yes,no,no
6.66,0.106840,1x,BAPMA,no,no,no,yes,no,no,yes,yes,no,no,no
6.67,0.105498,1x,BAPMA,no,no,no,yes,no,no,yes,yes,no,no,no
6.67,0.105498,1x,BAPMA,no,no,no,yes,no,no,yes,yes,no,no,no
6.65,0.108181,1x,BAPMA,no,no,no,yes,no,no,yes,yes,no,no,no
6.68,0.104157,1x,BAPMA,no,no,no,yes,no,no,yes,yes,no,no,no
6.64,0.109522,1x,BAPMA,no,no,no,yes,no,no,yes,yes,no,no,no
6.36,0.147072,1x,DGA+VG,no,yes,no,yes,no,no,yes,no,yes,no,no
6.37,0.145731,1x,DGA+VG,no,yes,no,yes,no,no,yes,no,yes,no,no
6.43,0.137684,1x,DGA+VG,no,yes,no,yes,no,no,yes,no,yes,no,no
6.38,0.144390,1x,DGA+VG,no,yes,no,yes,no,no,yes,no,yes,no,no
6.39,0.143049,1x,DGA+VG,no,yes,no,yes,no,no,yes,no,yes,no,no
6.4,0.141708,1x,DGA+VG,no,yes,no,yes,no,no,yes,no,yes,no,no
6.68,0.104157,1x,BAPMA,no,yes,no,yes,no,no,yes,yes,no,no,no
6.68,0.104157,1x,BAPMA,no,yes,no,yes,no,no,yes,yes,no,no,no
6.67,0.105498,1x,BAPMA,no,yes,no,yes,no,no,yes,yes,no,no,no
6.66,0.106840,1x,BAPMA,no,yes,no,yes,no,no,yes,yes,no,no,no
6.67,0.105498,1x,BAPMA,no,yes,no,yes,no,no,yes,yes,no,no,no
6.69,0.102816,1x,BAPMA,no,yes,no,yes,no,no,yes,yes,no,no,no
6.47,0.132320,1x,DGA+VG,no,yes,yes,yes,no,no,yes,no,yes,no,no
6.5,0.128297,1x,DGA+VG,no,yes,yes,yes,no,no,yes,no,yes,no,no
6.47,0.132320,1x,DGA+VG,no,yes,yes,yes,no,no,yes,no,yes,no,no
6.49,0.129638,1x,DGA+VG,no,yes,yes,yes,no,no,yes,no,yes,no,no
6.5,0.128297,1x,DGA+VG,no,yes,yes,yes,no,no,yes,no,yes,no,no
6.49,0.129638,1x,DGA+VG,no,yes,yes,yes,no,no,yes,no,yes,no,no
6.66,0.106840,1x,BAPMA,no,yes,yes,yes,no,no,yes,yes,no,no,no
6.69,0.102816,1x,BAPMA,no,yes,yes,yes,no,no,yes,yes,no,no,no
6.67,0.105498,1x,BAPMA,no,yes,yes,yes,no,no,yes,yes,no,no,no
6.63,0.110863,1x,BAPMA,no,yes,yes,yes,no,no,yes,yes,no,no,no
6.66,0.106840,1x,BAPMA,no,yes,yes,yes,no,no,yes,yes,no,no,no
6.65,0.108181,1x,BAPMA,no,yes,yes,yes,no,no,yes,yes,no,no,no
