Site,Year,Siteyr,Trt,Subsample,AMBEL,mAMBEL,CHEAL,mCHEAL,AMBTR,mAMBTR,AMATU,mAMATU
Arlington,2019,ARL19,NTC,101-1,1,10.8,,,,,,
Arlington,2019,ARL19,NTC,101-2,0,0.0,,,,,,
Arlington,2019,ARL19,NTC,204-1,0,0.0,,,,,,
Arlington,2019,ARL19,NTC,204-2,3,32.3,,,,,,
Arlington,2019,ARL19,NTC,302-1,4,43.1,,,,,,
Arlington,2019,ARL19,NTC,302-2,0,0.0,,,,,,
Arlington,2019,ARL19,NTC,407-1,4,43.1,,,,,,
Arlington,2019,ARL19,NTC,407-2,4,43.1,,,,,,
Arlington,2019,ARL19,PRE,102-1,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,102-2,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,205-1,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,205-2,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,308-1,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,308-2,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,405-1,0,0.0,,,,,,
Arlington,2019,ARL19,PRE,405-2,0,0.0,,,,,,
Janesville,2019,ROK19,NTC,101-1,,,,,17,183.0,,
Janesville,2019,ROK19,NTC,101-2,,,,,19,204.5,,
Janesville,2019,ROK19,NTC,206-1,,,,,5,53.8,,
Janesville,2019,ROK19,NTC,206-2,,,,,5,53.8,,
Janesville,2019,ROK19,NTC,302-1,,,,,12,129.2,,
Janesville,2019,ROK19,NTC,302-2,,,,,28,301.4,,
Janesville,2019,ROK19,NTC,408-1,,,,,16,172.2,,
Janesville,2019,ROK19,NTC,408-2,,,,,16,172.2,,
Janesville,2019,ROK19,PRE,102-1,,,,,10,107.6,,
Janesville,2019,ROK19,PRE,102-2,,,,,3,32.3,,
Janesville,2019,ROK19,PRE,204-1,,,,,4,43.1,,
Janesville,2019,ROK19,PRE,204-2,,,,,3,32.3,,
Janesville,2019,ROK19,PRE,308-1,,,,,11,118.4,,
Janesville,2019,ROK19,PRE,308-2,,,,,12,129.2,,
Janesville,2019,ROK19,PRE,406-1,,,,,18,193.8,,
Janesville,2019,ROK19,PRE,406-2,,,,,15,161.5,,
Lancaster,2019,LAN19,NTC,101-1,,,1,10.8,,,,
Lancaster,2019,LAN19,NTC,101-2,,,0,0.0,,,,
Lancaster,2019,LAN19,NTC,206-1,,,4,43.1,,,,
Lancaster,2019,LAN19,NTC,206-2,,,2,21.5,,,,
Lancaster,2019,LAN19,NTC,303-1,,,3,32.3,,,,
Lancaster,2019,LAN19,NTC,303-2,,,4,43.1,,,,
Lancaster,2019,LAN19,NTC,407-1,,,0,0.0,,,,
Lancaster,2019,LAN19,NTC,407-2,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,102-1,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,102-2,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,208-1,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,208-2,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,301-1,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,301-2,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,406-1,,,0,0.0,,,,
Lancaster,2019,LAN19,PRE,406-2,,,0,0.0,,,,
Brooklyn,2019,BRO19,NTC,101-1,,,,,,,237,2551.0
Brooklyn,2019,BRO19,NTC,101-2,,,,,,,303,3261.5
Brooklyn,2019,BRO19,NTC,204-1,,,,,,,202,2174.3
Brooklyn,2019,BRO19,NTC,204-2,,,,,,,285,3067.7
Brooklyn,2019,BRO19,NTC,308-1,,,,,,,186,2002.1
Brooklyn,2019,BRO19,NTC,308-2,,,,,,,179,1926.7
Brooklyn,2019,BRO19,NTC,402-1,,,,,,,220,2368.1
Brooklyn,2019,BRO19,NTC,402-2,,,,,,,244,2626.4
Brooklyn,2019,BRO19,PRE,102-1,,,,,,,14,150.7
Brooklyn,2019,BRO19,PRE,102-2,,,,,,,19,204.5
Brooklyn,2019,BRO19,PRE,207-1,,,,,,,17,183.0
Brooklyn,2019,BRO19,PRE,207-2,,,,,,,24,258.3
Brooklyn,2019,BRO19,PRE,305-1,,,,,,,5,53.8
Brooklyn,2019,BRO19,PRE,305-2,,,,,,,7,75.3
Brooklyn,2019,BRO19,PRE,401-1,,,,,,,25,269.1
Brooklyn,2019,BRO19,PRE,401-2,,,,,,,26,279.9
Lancaster,2018,LAN18,NTC,109-1,,,3,32.3,,,,
Lancaster,2018,LAN18,NTC,109-2,,,3,32.3,,,,
Lancaster,2018,LAN18,NTC,206-1,,,3,32.3,,,,
Lancaster,2018,LAN18,NTC,206-2,,,2,21.5,,,,
Lancaster,2018,LAN18,NTC,304-1,,,3,32.3,,,,
Lancaster,2018,LAN18,NTC,304-2,,,2,21.5,,,,
Lancaster,2018,LAN18,NTC,410-1,,,6,64.6,,,,
Lancaster,2018,LAN18,NTC,410-2,,,9,96.9,,,,
Lancaster ,2018,LAN18,PRE,106-1,,,0,0.0,,,,
Lancaster ,2018,LAN18,PRE,106-2,,,1,10.8,,,,
Lancaster ,2018,LAN18,PRE,203-1,,,0,0.0,,,,
Lancaster ,2018,LAN18,PRE,203-2,,,0,0.0,,,,
Lancaster ,2018,LAN18,PRE,301-1,,,0,0.0,,,,
Lancaster ,2018,LAN18,PRE,301-2,,,0,0.0,,,,
Lancaster ,2018,LAN18,PRE,406-1,,,0,0.0,,,,
Lancaster ,2018,LAN18,PRE,406-2,,,0,0.0,,,,
Janesville,2018,ROK18,NTC,102-1,,,,,4,43.1,,
Janesville,2018,ROK18,NTC,102-2,,,,,6,64.6,,
Janesville,2018,ROK18,NTC,206-1,,,,,1,10.8,,
Janesville,2018,ROK18,NTC,206-2,,,,,1,10.8,,
Janesville,2018,ROK18,NTC,308-1,,,,,2,21.5,,
Janesville,2018,ROK18,NTC,308-2,,,,,4,43.1,,
Janesville,2018,ROK18,NTC,401-1,,,,,10,107.6,,
Janesville,2018,ROK18,NTC,401-2,,,,,8,86.1,,
Janesville,2018,ROK18,PRE,108-1,,,,,3,32.3,,
Janesville,2018,ROK18,PRE,108-2,,,,,2,21.5,,
Janesville,2018,ROK18,PRE,210-1,,,,,2,21.5,,
Janesville,2018,ROK18,PRE,210-2,,,,,1,10.8,,
Janesville,2018,ROK18,PRE,301-1,,,,,2,21.5,,
Janesville,2018,ROK18,PRE,301-2,,,,,2,21.5,,
Janesville,2018,ROK18,PRE,405-1,,,,,7,75.3,,
Janesville,2018,ROK18,PRE,405-2,,,,,8,86.1,,
Arlington,2018,ARL18,NTC,104-1,0,0.0,,,,,,
Arlington,2018,ARL18,NTC,104-2,0,0.0,,,,,,
Arlington,2018,ARL18,NTC,207-1,3,32.3,,,,,,
Arlington,2018,ARL18,NTC,207-2,2,21.5,,,,,,
Arlington,2018,ARL18,NTC,305-1,4,43.1,,,,,,
Arlington,2018,ARL18,NTC,305-2,2,21.5,,,,,,
Arlington,2018,ARL18,NTC,403-1,2,21.5,,,,,,
Arlington,2018,ARL18,NTC,403-2,2,21.5,,,,,,
Arlington,2018,ARL18,PRE,102-1,0,0.0,,,,,,
Arlington,2018,ARL18,PRE,102-2,0,0.0,,,,,,
Arlington,2018,ARL18,PRE,208-1,1,10.8,,,,,,
Arlington,2018,ARL18,PRE,208-2,0,0.0,,,,,,
Arlington,2018,ARL18,PRE,306-1,1,10.8,,,,,,
Arlington,2018,ARL18,PRE,306-2,1,10.8,,,,,,
Arlington,2018,ARL18,PRE,410-1,1,10.8,,,,,,
Arlington,2018,ARL18,PRE,410-2,1,10.8,,,,,,
